Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
Bina Nusantara University (BINUS),Indonesia,#801-1000,Private,High,"13,627","1,053",375,,,,,,,375,96
Binghamton University SUNY,United States,#801-1000,Public,High,"16,409",849, 21.1,,,,, 24.3,,"1,969",51
Birmingham City University,United Kingdom,#801-1000,,Medium,"22,011","1,320", 65.7,,,,,, 35.5,"5,166",207
Budapest University of Technology and Economics,Hungary,#801-1000,Public,Very High,"19,210","1,337", 18.6,,, 18.9,,,,"1,931",8
Charles Sturt University,Australia,#801-1000,Public,Very High,"12,752",960, 87.5,,,,,,,"5,372",125
Clemson University,United States,#801-1000,Public,Very High,"22,891","1,503","1,302",,, 20.1,, 27.6,,"1,302",16
COMSATS University Islamabad,Pakistan,#801-1000,Public,Very High,"35,851","2,341",552,,,,,,,552,25
Corvinus University of Budapest,Hungary,#801-1000,Public,Very High,"9,919",460, 33.8,,, 18.6,,,,"1,549",20
Cracow University of Technology (Politechnika Krakowska),Poland,#801-1000,Public,Very High,"12,785","1,101",302,,,, 29.3,,,302,13
De La Salle University,Philippines,#801-1000,Private,High,"12,070",788,356,, 16.6, 26.9,,,,356,10
De Montfort University,United Kingdom,#801-1000,Public,High,"22,500","1,123", 90.9,,,,,, 61.6,"7,283",268
Edinburgh Napier University,United Kingdom,#801-1000,Public,High,"11,864",631, 82.3,,,,,, 55.5,"3,379",136
Fordham University,United States,#801-1000,Private,High,"14,529","1,089", 29.7,,,,,,,"2,109",65
Gdansk University of Technology,Poland,#801-1000,Public,Very High,"13,016","1,105",615,,,, 31.9,,,615,18
George Mason University,United States,#801-1000,Public,Very High,"6,552","1,811", 17.5,,,,, 21.5,,"3,738",60
Glasgow Caledonian University,United Kingdom,#801-1000,Public,High,"14,229",707, 41.7,,,,,, 32.8,"2,504",105
Gulf University for Science and Technology,Kuwait,#801-1000,Private,High,"3,169",154, 17.9,,,,,, 100,346,114
Hacettepe University,Turkey,#801-1000,Public,High,"47,012","2,474","1,331",,,,,,,"1,331",53
Harbin Engineering University,China Mainland,#801-1000,Public,Very High,"23,247","2,165",934,,,, 35.7, 22.4,,934,163
Islamic University of Madinah,Saudi Arabia,#801-1000,Public,Low,"13,569",775, 100,,,,,, 97,"7,297",322
Istanbul University,Turkey,#801-1000,Public,High,"96,624","1,916","7,076",, 20.6,,,,,"7,076",193
Karaganda State Technical University,Kazakhstan,#801-1000,Public,Medium,"6,280",890,389,,,, 53.8,,,389,32
Kasetsart University,Thailand,#801-1000,Public,High,"67,818","3,643",747,, 23.9, 20.3,,,,747,181
Kaunas University of Technology,Lithuania,#801-1000,Public,Very High,"8,179",731,643,,,, 32.2,,,643,18
Kazakh Ablai Khan University of International Relations and World Languages,Kazakhstan,#801-1000,Public,Low,"6,213",578,264,,,, 35.6,,,264,27
Kent State University,United States,#801-1000,Public,,"23,450","1,252","1,465",,,,, 34.7, 18.7,"1,465",126
Khon Kaen University,Thailand,#801-1000,Public,High,"30,345","1,803","1,170",,,,,,,"1,170",125
King Faisal University,Saudi Arabia,#801-1000,Public,High,"35,523","2,144",707,,,,,, 99.6,707,1022
King Mongkut's University of Technology Thonburi,Thailand,#801-1000,Public,High,"14,171","1,036",219,,,,,,,219,63
Kuwait University,Kuwait,#801-1000,Public,Medium,"36,458","1,693", 29.1,,,,,, 36.7,"5,235",272
Kyoto Institute of Technology,Japan,#801-1000,Public,Very High,"3,985",323,324,,,, 24.9,,,324,15
Kyushu Institute of Technology,Japan,#801-1000,Public,Very High,"5,649",376,257,,,,, 33.5,,257,29
Lanzhou University,China Mainland,#801-1000,Public,Very High,"32,812","2,944",391,,,,, 34.9,,391,52
Liverpool John Moores University,United Kingdom,#801-1000,,,"20,772","1,324", 33.4,,,,,, 45.6,"3,224",247
Lodz University of Technology,Poland,#801-1000,Public,Very High,"13,578","1,251",486,,,, 34.8,,,486,19
London Metropolitan University,United Kingdom,#801-1000,Public,High,"7,636",423, 99,,,,,, 54.6,"3,196",90
Loyola University Chicago,United States,#801-1000,Private,High,"15,539","1,292",869,,,, 26.7,,,869,43
Manchester Metropolitan University (MMU),United Kingdom,#801-1000,Public,High,"29,090","1,996", 38.2,,,,,, 39.7,"4,864",338
Multimedia University (MMU),Malaysia,#801-1000,Private,Very High,"9,231",632, 23.5,,,,,, 19.3,"1,176",65
Nagoya Institute of Technology (NIT),Japan,#801-1000,Public,Very High,"5,711",343,280,,,,, 37.2,,280,15
National Chung Cheng University,Taiwan,#801-1000,Public,Very High,"8,923",719,518,,,,,,,518,19
Nicolaus Copernicus University,Poland,#801-1000,Public,High,"21,085","2,081",509,,,, 41.2,,,509,40
Novosibirsk State Technical University,Russia,#801-1000,Public,Very High,"11,606",947, 53.9,,,, 25.2,,,"2,426",19
Ohio University,United States,#801-1000,Public,Very High,"22,818","1,169",977,,,,,,,977,51
Universitas Padjadjaran,Indonesia,#801-1000,Public,High,"33,982","2,589",355,,,, 27.5,,,355,197
Perm State National Research University,Russia,#801-1000,Public,High,"8,268",896,243,,,, 51.1,,,243,25
Prince of Songkla University,Thailand,#801-1000,Public,High,"36,496","2,475",642,, 17.9,,,,,642,87
Princess Nourah bint Abdulrahman University,Saudi Arabia,#801-1000,Public,Medium,"28,490","2,317","4,357",,,,,, 73.2,"4,357",676
Princess Sumaya University for Technology,Jordan,#801-1000,Private,High,"1,943",145, 29.6,,,,,, 72.4,282,39
"Queen Margaret University , Edinburgh",United Kingdom,#801-1000,,,"4,040",215, 87.8,,,,,, 48.6,"1,242",42
Rhodes University,South Africa,#801-1000,Public,Very High,"6,221",459, 41.1,,,,, 23,,"1,088",0
Riga Stradins University,Latvia,#801-1000,Public,High,"8,322",593, 78.5,,,,,,,"2,261",37
Ritsumeikan University,Japan,#801-1000,Private,High,"36,201","2,046","2,877",,, 48.5,,, 27.2,"2,877",268
Ryerson University,Canada,#801-1000,Public,High,"33,682",877,"1,350",,, 25.2,, 36.3,,"1,350",0
Saitama University,Japan,#801-1000,Public,Very High,"8,453",599,481,,,,, 23.4,,481,47
San Diego State University,United States,#801-1000,Public,Very High,"31,666","1,235","2,234",,,,, 33.6,,"2,234",44
Shanghai International Studies University,China Mainland,#801-1000,Public,Very High,"13,206","1,102", 48.9,,,, 26.9,, 46,"2,554",207
Sheffield Hallam University,United Kingdom,#801-1000,,,"26,409","1,683", 17.3,,, 21,,, 29.4,"2,828",232
Shinshu University,Japan,#801-1000,Public,Very High,"10,984","1,064",365,,,, 39.4, 19.5,,365,50
Shiraz University,Iran,#801-1000,Public,Very High,"14,774",714,75,,,,, 43.4,,75,0
Silesian University of Technology,Poland,#801-1000,Public,Very High,"17,641","1,616",431,,,, 34.3,,,431,26
Slovak University of Technology in Bratislava,Slovakia,#801-1000,Public,Very High,"12,733","1,255",375,,,, 41.1,,,375,17
Sophia University,Japan,#801-1000,Private,High,"13,556","1,135", 24.9,,, 18.4,,, 34.3,"1,786",174
South Ural State University (National Research University),Russia,#801-1000,Public,High,"13,722","1,384", 21.2,,,, 43.4,,,"1,650",95
Szent Istvan University,Hungary,#801-1000,Public,Very High,"8,179",745, 29.2,,,, 40.5,,,"1,095",13
Tallinn University,Estonia,#801-1000,Public,Very High,"6,148",341, 25.7,,,,,, 29.2,"1,142",47
Technical University of Kosice,Slovakia,#801-1000,Public,Very High,"8,963",731, 27.7,,,, 25.3,,,373,0
TU Dortmund University,Germany,#801-1000,Public,Very High,"31,335","2,006","2,991",,,,,, 21.1,"2,991",220
Technological University Dublin,Ireland,#801-1000,Public,High,"21,363","1,445", 44.4,,,,,, 41,"4,118",207
Texas Tech University,United States,#801-1000,,,"33,309","1,791","2,043",,,,, 19.8, 23,"2,043",162
Robert Gordon University,United Kingdom,#801-1000,Public,High,"9,663",468, 44.9,,,,,, 56.3,"1,583",102
Russian Presidential Academy of National Economy and Public Administration,Russia,#801-1000,Public,Very High,"44,836","4,952","1,416",,,, 53.2,,,"1,416",78
Tokai University,Japan,#801-1000,Private,High,"29,211","2,079",972,,,,,,,972,99
University of Alicante,Spain,#801-1000,,,"21,757","1,839","2,066",,,, 27.9,,,"2,066",59
University of Murcia,Spain,#801-1000,Public,High,"25,168","2,466","1,968",,,, 29.2,,,"1,968",60
Universidade da Coruña,Spain,#801-1000,Public,Very High,"14,301","1,256",579,,,, 30.8,,,579,9
Catania University,Italy,#801-1000,Public,Very High,"26,103","1,167",233,,,,, 33.8,,233,10
Universita' degli Studi di Ferrara,Italy,#801-1000,Public,High,"22,523",626,"1,234",,,,, 49.8,,"1,234",2
University of Salerno,Italy,#801-1000,Public,High,"25,320","1,152",385,,,,, 35.2,,385,23
Università degli Studi di Udine,Italy,#801-1000,,Very High,"11,715",760,622,,,,, 29,,622,30
Università degli studi Roma Tre,Italy,#801-1000,Public,High,"33,891","1,063","1,679",, 18.5,,,,,"1,679",71
University of Calabria,Italy,#801-1000,,,"24,395",883,760,,,,, 32.9,,760,49
Universita' Politecnica delle Marche,Italy,#801-1000,,,"10,190",650,432,,,,, 42.1,,432,18
University of Palermo,Italy,#801-1000,Public,,"28,571","1,434",318,,,,, 28.8,,318,7
Bielefeld University,Germany,#801-1000,Public,Very High,"25,009","1,501","1,933",,,,,, 24.2,"1,933",181
Universität Potsdam,Germany,#801-1000,,Very High,"20,566","2,375", 21.6,,,,,,,"2,510",0
Université de Lorraine,France,#801-1000,Public,Very High,"60,652","3,387", 40.4,,,,,, 23.5,"10,429",400
Université de Nantes,France,#801-1000,Public,Very High,"37,140","2,091", 18,,,,,, 18.3,"4,075",207
Université de Rennes 1,France,#801-1000,Public,Very High,"25,635","1,765","2,919",,,,,,,"2,919",151
Université de Versailles Saint-Quentin-en-Yvelines (UVSQ),France,#801-1000,Public,,"14,167",855, 18.6,,,,, 28.7, 25.8,"1,616",108
Université Toulouse 1 Capitole,France,#801-1000,Public,Medium,"21,300",500, 58,,,,,, 33.7,"4,534",70
Universiti Malaysia Sarawak (UNIMAS),Malaysia,#801-1000,Public,Medium,"14,365",920,911,,,,,, 36.1,911,146
Universiti Tunku Abdul Rahman (UTAR),Malaysia,#801-1000,Private,Medium,"17,491","1,130",285,,, 27.6,,,,285,86
Universiti Malaysia Perlis,Malaysia,#801-1000,Public,Very High,"10,628","1,102",577,,,, 46.3,,,577,16
The University of Alabama,United States,#801-1000,Public,High,"34,473","1,659","1,066",,, 22.1,,,,"1,066",67
University of Baghdad,Iraq,#801-1000,Public,High,"70,590","6,538",74,,,, 35.2,,,74,13
University of Bahrain,Bahrain,#801-1000,Public,Medium,"18,226",942, 29.9,,,,,, 98.8,"2,679",424.66
University of Bari,Italy,#801-1000,Public,High,"30,019","1,396",465,,,,, 27.1,,465,59
University of Brighton,United Kingdom,#801-1000,,High,"16,328",983, 54.3,,,,,, 54.2,"3,369",208
University of Bucharest,Romania,#801-1000,Public,Very High,"31,469","1,720",531,,,,,,,531,21
University of Calcutta,India,#801-1000,Public,Very High,"14,938",730,109,,,,, 21.3,,109,88
University of Central Lancashire,United Kingdom,#801-1000,Public,High,"18,641","1,421", 47.7,,,,,, 31.2,"3,548",204
University of Crete,Greece,#801-1000,Public,High,"13,493",680,618,,,,, 31.1,,618,8
University of Dhaka,Bangladesh,#801-1000,Public,Medium,"33,360","2,268",48,,, 31.5,,,,48,20
University of East London,United Kingdom,#801-1000,Public,High,"11,200",567, 94.5,,,,,, 78.3,"3,996",165
University of Engineering & Technology (UET) Lahore,Pakistan,#801-1000,Public,High,"13,832","1,030",843,,, 36.6,,,,843,3
UNIVERSITY OF GDANSK,Poland,#801-1000,Public,Very High,"19,121","1,761",503,,,, 24.9,,,503,69
University of Hertfordshire,United Kingdom,#801-1000,Public,High,"19,474","1,233", 86.9,,,,,, 53.7,"5,910",259
University of Kufa,Iraq,#801-1000,Public,Medium,"24,992","2,356",43,,,, 36.8,,,43,90
University of Kwazulu-Natal,South Africa,#801-1000,Public,High,"32,731","1,652",876,,,,, 19.4, 30.6,876,234
University of Lincoln,United Kingdom,#801-1000,Public,High,"13,223",850,"1,012",,,,,, 77.3,"1,012",244
University of Lodz,Poland,#801-1000,,High,"21,664","2,103","1,849",,,, 32.7,,,"1,849",43
Universiti Malaysia Sabah (UMS),Malaysia,#801-1000,Public,Medium,"16,777",925,591,,,,,, 21.6,591,103
University of Malta,Malta,#801-1000,,,"8,814",900,816,,,, 44.7,, 17.7,816,87
University of Maribor,Slovenia,#801-1000,Public,High,"12,379","1,186",637,,,, 38.3,,,637,14
University of Miskolc,Hungary,#801-1000,Public,High,"7,132",652,256,,,, 34.1,,,256,21
University of Mississippi,United States,#801-1000,Public,Very High,"20,549","1,948",641,,,, 37.4,,,641,138
University of New Hampshire,United States,#801-1000,Public,Very High,"14,294",862,768,,,,, 36.8,,768,8
University of San Diego,United States,#801-1000,Private,High,"7,843",648,698,,,, 26.2,,,698,14
University of Santo Tomas,Philippines,#801-1000,Private,Medium,"28,922","1,990","1,542",,,,,, 29.7,"1,542",295
University of the Pacific,United States,#801-1000,Private,High,"5,921",588,298,,,, 41.8,,,298,13
University of the Punjab,Pakistan,#801-1000,Public,Very High,"27,907","1,280",175,,, 32.2,,,,175,30
University of the West of England,United Kingdom,#801-1000,,High,"23,832","1,520", 53.4,,,,,, 42.7,"4,864",271
University of Wroclaw,Poland,#801-1000,Public,Very High,"22,175","1,846","1,465",,,,,,,"1,465",49
University of Wyoming,United States,#801-1000,Public,Very High,"10,660",724,564,,,,, 39.6,,564,46
University of Zagreb,Croatia,#801-1000,Public,Very High,"57,104","5,110",586,,,, 32.3,,,586,36
Utah State University,United States,#801-1000,Public,Very High,"20,490","1,052",375,,,,, 32.8,,375,0
Verona University,Italy,#801-1000,Public,High,"18,127",877,806,,,,, 26.9,,806,35
Viet Nam National University Ho Chi Minh City (VNU-HCM),Vietnam,#801-1000,Public,High,"71,880","4,264",523,, 20.4,,,,,523,587
"Vietnam National University, Hanoi",Vietnam,#801-1000,Public,High,"36,411","2,706",521,,,,,,,521,172
Vytautas Magnus University,Lithuania,#801-1000,Public,Very High,"9,958",589, 18.7,,,,,, 27.6,"1,291",94
Wroclaw University of Science and Technology (WRUST),Poland,#801-1000,Public,Very High,"24,416","2,132","1,231",,,, 29.8,,,"1,231",25
Wuhan University of Technology,China Mainland,#801-1000,Public,Very High,"51,497","3,539","1,477",,,,, 23.4,,"1,477",97
Xi'an Jiaotong Liverpool University,China Mainland,#801-1000,Private,High,"11,016",662,728,,,,,, 100,728,333
